equipment_id,recorded_at,severity,message,resolved
1,2026-05-01 01:00:00.100,medium,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.200,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.300,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.400,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.500,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.600,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.700,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.800,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:00.900,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.000,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.100,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.200,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.300,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.400,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.500,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.600,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.700,medium,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.800,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
1,2026-05-01 01:00:01.900,high,Critical anomaly window observed during process phase: 'Prep'. Baseline configuration flagged tool as UNWORN.,0
