equipment_id,recorded_at,vibration,temperature,spindle_speed,tool_wear,anomaly_score
1,2026-05-01 01:00:00.000,0.0,2.74e-19,0.001,unworn,0.1714681152958245
1,2026-05-01 01:00:00.100,-10.8,2.74e-19,0.0,unworn,-0.05470676246151063
1,2026-05-01 01:00:00.200,-17.8,2.74e-19,0.0,unworn,-0.12694047518236928
1,2026-05-01 01:00:00.300,-18.0,2.74e-19,-0.001,unworn,-0.13409190698649165
1,2026-05-01 01:00:00.400,-17.9,2.74e-19,0.0,unworn,-0.13286467333121188
1,2026-05-01 01:00:00.500,-17.6,2.74e-19,0.0,unworn,-0.12534528589334648
1,2026-05-01 01:00:00.600,-17.9,2.74e-19,0.00075,unworn,-0.1299333535153946
1,2026-05-01 01:00:00.700,-17.8,2.74e-19,0.0,unworn,-0.12215259923883559
1,2026-05-01 01:00:00.800,-17.9,2.74e-19,-0.00075,unworn,-0.1232950986254111
1,2026-05-01 01:00:00.900,-17.9,2.74e-19,-0.001,unworn,-0.12924652797772862
1,2026-05-01 01:00:01.000,-18.1,2.74e-19,0.0,unworn,-0.13633822415288466
1,2026-05-01 01:00:01.100,-17.7,2.74e-19,0.001,unworn,-0.1308537655268628
1,2026-05-01 01:00:01.200,-17.9,2.74e-19,-0.00175,unworn,-0.12147439593593534
1,2026-05-01 01:00:01.300,-17.8,2.74e-19,0.004,unworn,-0.14381326624071378
1,2026-05-01 01:00:01.400,-17.8,2.74e-19,0.00075,unworn,-0.12534528589334648
1,2026-05-01 01:00:01.500,-18.0,2.74e-19,0.0,unworn,-0.13524873024434048
1,2026-05-01 01:00:01.600,-17.8,2.74e-19,-0.001,unworn,-0.13115669287813436
1,2026-05-01 01:00:01.700,-17.9,2.74e-19,0.0,unworn,-0.11897499773040654
1,2026-05-01 01:00:01.800,-17.8,2.74e-19,-0.00325,unworn,-0.13496091318068215
1,2026-05-01 01:00:01.900,-17.8,2.74e-19,0.00025,unworn,-0.12351904219060494
1,2026-05-01 01:00:02.000,-17.9,2.74e-19,0.0,unworn,-0.12436382153937298
1,2026-05-01 01:00:02.100,-18.0,2.74e-19,-0.00125,unworn,-0.13478681086649913
1,2026-05-01 01:00:02.200,-18.1,2.74e-19,0.003,unworn,-0.13906837663846705
1,2026-05-01 01:00:02.300,-18.0,2.74e-19,-0.003,unworn,-0.13821440522138217
1,2026-05-01 01:00:02.400,-17.9,2.74e-19,0.001,unworn,-0.12488826150890286
1,2026-05-01 01:00:02.500,-17.7,2.74e-19,-0.00075,unworn,-0.13247289190455847
1,2026-05-01 01:00:02.600,-17.8,2.74e-19,-0.00075,unworn,-0.13590533983556286
1,2026-05-01 01:00:02.700,-17.2,2.74e-19,-0.00175,unworn,-0.1313157139340555
1,2026-05-01 01:00:02.800,0.1,0.0447,0.003,unworn,0.05826532635243126
1,2026-05-01 01:00:02.900,-0.075,0.034,0.00225,unworn,0.10073822744953331
1,2026-05-01 01:00:03.000,0.075,2.61,5.73,unworn,-0.1391835108126579
1,2026-05-01 01:00:03.100,0.075,2.56,15.8,unworn,-0.10421390659554186
1,2026-05-01 01:00:03.200,-0.075,2.41,26.3,unworn,-0.1166875463093412
1,2026-05-01 01:00:03.300,-6.0,2.61,35.9,unworn,-0.14664729552686806
1,2026-05-01 01:00:03.400,-6.15,2.65,45.9,unworn,-0.1311531490050607
1,2026-05-01 01:00:03.500,-5.93,0.389,53.7,unworn,-0.04452285698154934
1,2026-05-01 01:00:03.600,-5.93,1.2,53.2,unworn,0.014554871217986931
1,2026-05-01 01:00:03.700,-5.9,0.917,53.3,unworn,0.16674860313646145
1,2026-05-01 01:00:03.800,-5.82,0.872,53.3,unworn,0.16113998597431867
1,2026-05-01 01:00:03.900,-6.2,0.979,53.3,unworn,0.159119996660115
1,2026-05-01 01:00:04.000,-5.9,0.906,53.3,unworn,0.1627227406109989
1,2026-05-01 01:00:04.100,-6.03,0.884,53.3,unworn,0.159825993676814
1,2026-05-01 01:00:04.200,-5.82,1.04,53.2,unworn,0.11154770292981953
1,2026-05-01 01:00:04.300,-5.82,0.876,53.3,unworn,0.1488480669421885
1,2026-05-01 01:00:04.400,-5.2,0.923,53.2,unworn,0.10441833834572029
1,2026-05-01 01:00:04.500,-5.07,0.91,53.3,unworn,0.15069749589979264
1,2026-05-01 01:00:04.600,-4.47,1.02,53.3,unworn,0.1227444307699968
1,2026-05-01 01:00:04.700,-4.05,1.03,53.2,unworn,0.09496945871695989
1,2026-05-01 01:00:04.800,-3.2,1.04,53.2,unworn,0.09704085317462308
1,2026-05-01 01:00:04.900,-2.7,0.854,53.4,unworn,0.14589080485264916
1,2026-05-01 01:00:05.000,-2.03,0.835,53.4,unworn,0.14888642902678945
1,2026-05-01 01:00:05.100,-1.45,1.23,53.1,unworn,-0.059713420349578605
1,2026-05-01 01:00:05.200,-0.8,0.904,53.4,unworn,0.1499851391644511
1,2026-05-01 01:00:05.300,0.125,0.893,53.3,unworn,0.17961619246302124
1,2026-05-01 01:00:05.400,6.07,0.932,53.3,unworn,0.16910278083037794
1,2026-05-01 01:00:05.500,5.97,0.903,53.3,unworn,0.16114994147557443
1,2026-05-01 01:00:05.600,5.7,0.873,53.3,unworn,0.16325509158018925
1,2026-05-01 01:00:05.700,6.18,1.03,53.3,unworn,0.14489776402539284
1,2026-05-01 01:00:05.800,6.1,0.894,53.3,unworn,0.16351023866783443
1,2026-05-01 01:00:05.900,1.2,0.904,53.2,unworn,0.10379287169111245
1,2026-05-01 01:00:06.000,2.05,0.903,53.3,unworn,0.14859232042981352
1,2026-05-01 01:00:06.100,3.1,1.02,53.3,unworn,0.1239901439656797
1,2026-05-01 01:00:06.200,3.92,1.02,53.2,unworn,0.0972306868934551
1,2026-05-01 01:00:06.300,4.6,1.04,53.2,unworn,0.09909511332993237
1,2026-05-01 01:00:06.400,4.9,0.845,53.4,unworn,0.14675286664987353
1,2026-05-01 01:00:06.500,5.28,0.848,53.3,unworn,0.14937971104982545
1,2026-05-01 01:00:06.600,5.75,1.2,53.1,unworn,-0.028046629257956757
1,2026-05-01 01:00:06.700,6.05,0.885,53.4,unworn,0.15851019074983097
1,2026-05-01 01:00:06.800,3.4,0.879,53.3,unworn,0.17672154925364097
1,2026-05-01 01:00:06.900,6.05,0.975,53.3,unworn,0.16156206126453626
1,2026-05-01 01:00:07.000,6.18,0.878,53.3,unworn,0.16384735811184004
1,2026-05-01 01:00:07.100,6.13,0.863,53.3,unworn,0.1564149838629817
1,2026-05-01 01:00:07.200,5.88,1.0,53.3,unworn,0.1563423405713426
1,2026-05-01 01:00:07.300,6.05,0.872,53.3,unworn,0.16225518686312873
1,2026-05-01 01:00:07.400,5.93,0.919,53.2,unworn,0.12599070736301
1,2026-05-01 01:00:07.500,6.07,0.889,53.3,unworn,0.1630213425897824
1,2026-05-01 01:00:07.600,5.93,1.01,53.3,unworn,0.1474241503002076
